"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 04:18:11 UTC 2023","Tue Aug 15 04:19:15 UTC 2023","64330","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Aug 15 02:47:59 UTC 2023","Tue Aug 15 02:48:10 UTC 2023","10583","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Aug 15 02:44:41 UTC 2023","Tue Aug 15 02:44:42 UTC 2023","660","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Aug 15 04:08:32 UTC 2023","Tue Aug 15 04:08:42 UTC 2023","10153","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Aug 15 02:59:32 UTC 2023","Tue Aug 15 02:59:55 UTC 2023","22907","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Aug 15 02:59:55 UTC 2023","Tue Aug 15 03:00:01 UTC 2023","5877","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Aug 15 02:51:17 UTC 2023","Tue Aug 15 02:52:57 UTC 2023","99326","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Aug 15 02:53:05 UTC 2023","Tue Aug 15 02:53:09 UTC 2023","3743","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Aug 15 03:03:17 UTC 2023","Tue Aug 15 03:03:36 UTC 2023","18866","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Aug 15 03:04:07 UTC 2023","Tue Aug 15 03:04:11 UTC 2023","4259","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Aug 15 04:08:26 UTC 2023","Tue Aug 15 04:08:31 UTC 2023","5659","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Aug 15 02:44:13 UTC 2023","Tue Aug 15 02:44:37 UTC 2023","24203","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Aug 15 02:38:36 UTC 2023","Tue Aug 15 02:38:45 UTC 2023","8732","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Aug 15 02:28:29 UTC 2023","Tue Aug 15 02:28:54 UTC 2023","25204","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Aug 15 04:15:37 UTC 2023","Tue Aug 15 04:17:03 UTC 2023","86835","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Aug 15 03:41:28 UTC 2023","Tue Aug 15 03:42:18 UTC 2023","49485","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Aug 15 04:29:07 UTC 2023","Tue Aug 15 04:29:09 UTC 2023","1917","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Aug 15 04:14:04 UTC 2023","Tue Aug 15 04:14:41 UTC 2023","37133","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Aug 15 03:45:08 UTC 2023","Tue Aug 15 03:45:18 UTC 2023","9850","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Aug 15 02:38:31 UTC 2023","Tue Aug 15 02:38:36 UTC 2023","4340","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Aug 15 02:28:19 UTC 2023","Tue Aug 15 02:28:29 UTC 2023","9486","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Aug 15 02:48:10 UTC 2023","Tue Aug 15 02:48:14 UTC 2023","4729","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Aug 15 04:08:31 UTC 2023","Tue Aug 15 04:08:32 UTC 2023","457","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Aug 15 03:22:34 UTC 2023","Tue Aug 15 03:22:46 UTC 2023","11965","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Aug 15 03:44:43 UTC 2023","Tue Aug 15 03:44:46 UTC 2023","3065","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Aug 15 03:22:29 UTC 2023","Tue Aug 15 03:22:32 UTC 2023","2808","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Aug 15 03:29:36 UTC 2023","Tue Aug 15 03:29:42 UTC 2023","6023","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Aug 15 04:08:46 UTC 2023","Tue Aug 15 04:08:47 UTC 2023","889","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Tue Aug 15 02:51:12 UTC 2023","Tue Aug 15 02:51:17 UTC 2023","5335","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Aug 15 02:41:12 UTC 2023","Tue Aug 15 02:41:31 UTC 2023","19296","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Aug 15 03:37:21 UTC 2023","Tue Aug 15 03:38:02 UTC 2023","40675","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Aug 15 03:04:28 UTC 2023","Tue Aug 15 03:04:41 UTC 2023","12730","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Aug 15 04:17:19 UTC 2023","Tue Aug 15 04:17:22 UTC 2023","3121","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
